time_s,ivc_pressure_pa,lpa_pressure_pa,rpa_pressure_pa,svc_pressure_pa,aortic_arch_pressure_pa,ascending_aorta_pressure_pa,descending_aorta_pressure_pa,femoral_artery_pressure_pa,ventricle_pressure_pa,wedge_pressure_pa,ivc_flow_m3_s,lpa_flow_m3_s,rpa_flow_m3_s,svc_flow_m3_s,ascending_aorta_flow_m3_s,descending_aorta_flow_m3_s,ventricle_volume_m3
0.0,1063.9777973731896,1098.6392,1166.6375,1141.2559680401407,5589.133925740875,5461.791755340081,5769.611130348359,5577.5327135883035,887.9778000000001,704.1273702624611,2.4163411701891626e-05,2.275190580533655e-05,2.880554314983131e-05,1.83532168429195e-05,2.368552607228651e-06,-3.34601605292813e-06,7.430118977787739e-05
0.0010000000000000009,1067.5996295647349,1101.3058,1162.7781862233376,1142.4930408523724,5582.665160402119,5454.313894411957,5767.007563496548,5572.244081308659,894.6443,705.0788267012605,2.4325193214685772e-05,2.27104353428703e-05,2.8623604823495463e-05,1.836194695058489e-05,2.203733549040193e-06,-3.3612399754896985e-06,7.432354752396914e-05
0.0020000000000000018,1069.2211328138762,1103.9724,1163.8346292163585,1143.707240914422,5581.333863430071,5453.197,5763.210434243165,5570.674261667308,907.9773,713.0496883433648,2.448816904094616e-05,2.266583361054477e-05,2.8437779232615322e-05,1.83701426137908e-05,1.979512454073395e-06,-3.3817939578550264e-06,7.434334668653715e-05
0.0030000000000000027,1068.2634618721022,1098.6392,1163.9709000000003,1144.9264366940224,5580.172717595265,5451.039380295838,5761.6100708723025,5571.744572806411,910.6439000000001,712.0378342708532,2.465218761907159e-05,2.2618382404518125e-05,2.8248704521885907e-05,1.8377835715597755e-05,1.7009374191590673e-06,-3.407234252649177e-06,7.436043643875779e-05
0.0040000000000000036,1069.7469356933698,1102.6391,1164.893017975187,1146.3414970469096,5577.077323042223,5447.792000240509,5759.435634008199,5568.91712747768,925.3102000000001,714.1454989171966,2.481709738746071e-05,2.256836352094856e-05,2.8057018836002405e-05,1.8385058139066265e-05,1.373056541128245e-06,-3.4371171124971943e-06,7.437466595380737e-05
0.0050000000000000044,1069.4386928027416,1109.3056000000001,1165.3042,1146.6380000000001,5570.31251523539,5442.785424918631,5757.808007109023,5566.444056292614,935.9766000000001,721.0260606638227,2.4982746784512317e-05,2.2516058755994237e-05,2.7863360319659825e-05,1.8391841767256858e-05,1.000917916811694e-06,-3.4709987900241467e-06,7.438588440486228e-05
0.006000000000000005,1067.3272640456248,1106.6390000000001,1165.8901374774591,1146.9956694404705,5563.305285822867,5439.102621898356,5755.584079271097,5565.200442558867,939.9765000000001,717.5514427822678,2.5148984248625067e-05,2.2461749905813354e-05,2.7668367117553354e-05,1.8398218483230056e-05,5.895696430404902e-07,-3.5084355378550736e-06,7.439394096509881e-05
0.007000000000000006,1066.0641611371386,1107.9723000000001,1166.6375,1149.1740395791574,5558.783901397036,5437.790006135606,5749.60751222761,5563.937490504102,958.6427000000001,721.7076058367879,2.5315658218197765e-05,2.2405718766564066e-05,2.747267737437801e-05,1.8404220170046378e-05,1.4405981664536237e-07,-3.548983608615047e-06,7.439868480769336e-05
0.008000000000000007,1065.631480072903,1113.3055000000002,1166.6375,1153.1720936098088,5555.264384625775,5437.197400000001,5743.919223387136,5562.744326796547,973.3090000000001,727.7180523455963,2.5482617131629048e-05,2.234824713440457e-05,2.727692923482897e-05,1.8409878710766337e-05,-3.305634655425811e-07,-3.5921992549291047e-06,7.439998007606457e-05
0.009000000000000008,1068.4716687580906,1113.3055000000002,1166.3155780547993,1156.609808764193,5550.320783431811,5435.880518623602,5742.099056344345,5558.047605439891,985.3087,723.0691751928915,2.5649709427317687e-05,2.2289616805493047e-05,2.70817608436013e-05,1.841522598845046e-05,-8.292521066925257e-07,-3.6376387294223093e-06,7.439868181340612e-05
