t_s,paao_mmhg,qaao_ml_per_s,parch_mmhg,pdao_mmhg,qdao_ml_per_s,pivc_mmhg,qivc_ml_per_s,psvc_mmhg,qsvc_ml_per_s,prpa_mmhg,qrpa_ml_per_s,plpa_mmhg,qlpa_ml_per_s,pv_mmhg,vv_ml,pa_mmhg,va_ml,qpa_ml_per_s,qmv_mmhg,ev_mmhg_per_ml,ea_mmhg_per_ml,stateav,statemv
0.0,41.95732393309832,-0.0020433499999999998,41.95732393309832,41.9734493362334,-5.81852,8.81947048676217,17.1789,8.530263256581414,38.9303,8.565214130353258,35.998999999999995,7.441003525088127,20.8368,4.25544,75.968336,2.374057,17.344826,56.83576,2.608228,0.06499997189481035,0.20042987545785812,0.0,0.307531
0.0010000000000000009,41.949373734343354,-0.00204345,41.94929873246831,41.96549913747843,-5.81544,8.823595589889747,17.1721,8.529813245331132,38.883700000000005,8.561839045976148,35.9132,7.4588389709742735,20.8645,4.502031,75.970526,2.385454,17.399446,56.777609,1.751138,0.06876424056834367,0.20046765202346395,0.0,0.302688
0.0020000000000000018,41.941423535588385,-0.0020435400000000004,41.94134853371334,41.95754893872346,-5.81236,8.826970674266857,17.1652,8.529288232205804,38.847100000000005,8.558388959723992,35.824600000000004,7.475789394734868,20.8866,4.861242,75.971805,2.397349,17.454914,56.711187,0.780714,0.07424939636229672,0.20053251742337924,0.0,0.297203
0.0030000000000000027,41.933473336833416,-0.00204363,41.93339833495837,41.9495987399685,-5.80928,8.829670741768544,17.1584,8.528763219080476,38.819,8.555238880972023,35.7341,7.492004800120002,20.9033,5.279052,75.972046,2.409802,17.51135,56.637413,-0.328069,0.08063062516787699,0.20062707355959156,0.0,0.290934
0.0040000000000000036,41.925523138078454,-0.00204373,41.925523138078454,41.941648541213524,-5.80621,8.831470786769668,17.151600000000002,8.528163204080101,38.7975,8.552613815345383,35.6427,7.5076126903172575,20.9148,5.7391,75.971104,2.422853,17.568892,56.557531,-1.585279,0.08765851878715837,0.2007519000087166,0.0,0.283826
0.0050000000000000044,41.91757293932348,-0.00204382,41.91757293932348,41.93369834245856,-5.80314,8.83237080927023,17.145,8.527563189079727,38.7804,8.550663766594164,35.5515,7.522688067201679,20.921499999999998,6.232423,75.96883,2.436528,17.627683,56.472942,-2.992832,0.09519679823207472,0.20090630667044973,0.0,0.275865
0.006000000000000005,41.909697742443555,-0.0020439200000000003,41.909622740568516,41.92582314557864,-5.80008,8.832445811145279,17.1387,8.526963174079352,38.7652,8.549463736593415,35.4613,7.537388434710867,20.9238,6.753149,75.965074,2.450845,17.68787,56.385047,-4.546856,0.10315651670996354,0.20108886950714114,0.0,0.267072
0.007000000000000006,41.90174754368859,-0.0020440099999999998,41.90167254181354,41.917872946823664,-5.79702,8.83169579239481,17.1327,8.526363159078976,38.7495,8.549313732843322,35.373000000000005,7.5518637965949145,20.9221,7.297038,75.959695,2.465815,17.749592,56.295111,-6.238825,0.1114737549571534,0.201297724854836,0.0,0.257489
0.008000000000000007,41.89379734493362,-0.00204411,41.89372234305857,41.9099227480687,-5.793970000000001,8.830120753018825,17.127100000000002,8.525763144078601,38.7305,8.550138753468836,35.287000000000006,7.566039150978773,20.9172,7.860833,75.952559,2.481438,17.812979,56.204186,-8.056319,0.12009970458145114,0.20153027143147081,0.0,0.247181
0.009000000000000008,41.885847146178655,-0.0020442,41.8857721443036,41.90204755118878,-5.79092,8.827720693017325,17.1218,8.525163129078226,38.7057,8.552163804095102,35.2038,7.58028950723768,20.909299999999998,8.441919,75.94355,2.497708,17.878148,56.113101,-9.983632,0.12899543194096286,0.20178365939718929,0.0,0.236232
0.010000000000000009,41.87789694742368,-0.0020443,41.87782194554863,41.8940973524338,-5.78787,8.82472061801545,17.116899999999998,8.524638115952897,38.6722,8.555238880972023,35.1233,7.594539863496587,20.8992,9.038136,75.932566,2.51461,17.945202,56.022473,-12.00235,0.13812901667344057,0.20205457492775128,0.0,0.224737
0.01100000000000001,41.86994674866872,-0.0020443899999999997,41.86994674866872,41.88614715367884,-5.7848299999999995,8.821120528013198,17.1125,8.524188104702617,38.6276,8.559363984099601,35.0454,7.608940223505587,20.8873,9.647653,75.919527,2.532122,18.014221,55.932723,-14.091888,0.1474735976003006,0.20233956232673214,0.0,0.212801
