t_s,paao_mmhg,parch_mmhg,pdao_mmhg,qdao_ml_per_s,pivc_mmhg,qivc_ml_per_s,psvc_mmhg,qsvc_ml_per_s,prpa_mmhg,qrpa_ml_per_s,plpa_mmhg,qlpa_ml_per_s
0.0,42.90392259806495,42.94472361809044,42.78939473486837,-4.81844,8.90729768244206,17.4122,8.816470411760292,24.018900000000002,8.765769144228605,26.077,8.124053101327533,15.7823
0.0010000000000000009,42.870846771169276,42.935198379959495,42.78466961674041,-4.80421,8.907222680567013,17.407799999999998,8.816395409885246,24.0229,8.765694142353558,26.0766,8.123978099452486,15.7821
0.0020000000000000018,42.83244581114528,42.92162304057601,42.78189454736368,-4.78261,8.907147678691965,17.4035,8.8163204080102,24.026999999999997,8.765619140478512,26.0763,8.12390309757744,15.781899999999998
0.0030000000000000027,42.78886972174304,42.90369759243981,42.78114452861321,-4.75336,8.907072676816918,17.3991,8.816245406135153,24.031000000000002,8.765619140478512,26.076,8.12390309757744,15.781699999999999
0.0040000000000000036,42.74026850671267,42.88104702617565,42.782344558613964,-4.71653,8.906997674941872,17.3948,8.816170404260106,24.0351,8.765544138603465,26.0756,8.123828095702393,15.781500000000001
0.0050000000000000044,42.68686717167928,42.8534463361584,42.78549463736593,-4.67251,8.906922673066825,17.3905,8.81609540238506,24.039199999999997,8.765469136728418,26.075300000000002,8.123828095702393,15.781300000000002
0.006000000000000005,42.62904072601814,42.82059551488787,42.790294757368926,-4.62207,8.906847671191779,17.3861,8.816020400510013,24.043400000000002,8.765394134853372,26.0749,8.123753093827345,15.7812
0.007000000000000006,42.56708917722943,42.78249456236405,42.79651991299782,-4.56627,8.906772669316732,17.381800000000002,8.81587039675992,24.0475,8.765319132978323,26.0746,8.123678091952298,15.781
0.008000000000000007,42.50146253656341,42.73899347483687,42.803795094877366,-4.506530000000001,8.906697667441685,17.3775,8.815795394884871,24.0517,8.765319132978323,26.074299999999997,8.123678091952298,15.7808
0.009000000000000008,42.43283582089552,42.69031725793144,42.81167029175729,-4.44455,8.906622665566639,17.3731,8.815720393009824,24.0558,8.765244131103277,26.073900000000002,8.12360309007725,15.7806
0.010000000000000009,42.36165904147603,42.63646591164779,42.819620490512264,-4.382289999999999,8.906622665566639,17.3688,8.815645391134778,24.06,8.76516912922823,26.0736,8.12360309007725,15.780399999999998
0.01100000000000001,42.28860721518038,42.57773944348609,42.827120678016946,-4.3219199999999995,8.906547663691592,17.3645,8.815570389259731,24.0642,8.765094127353183,26.0732,8.123528088202203,15.780199999999999
0.01200000000000001,42.214280357008924,42.51451286282157,42.833570839270976,-4.26578,8.906472661816544,17.3602,8.815495387384683,24.068499999999997,8.765094127353183,26.0729,8.123453086327157,15.780000000000001
0.013000000000000012,42.139203480087,42.44723618090452,42.838295957398934,-4.21628,8.906397659941497,17.355800000000002,8.815420385509636,24.0727,8.765019125478137,26.072599999999998,8.123453086327157,15.779800000000002
0.014000000000000012,42.06412660316507,42.37628440711017,42.84062101552538,-4.17588,8.90632265806645,17.3515,8.81534538363459,24.0769,8.76494412360309,26.072300000000002,8.12337808445211,15.7796
0.015000000000000013,41.98949973749343,42.302182554563856,42.839945998649966,-4.146990000000001,8.906247656191404,17.347199999999997,8.815270381759543,24.0812,8.764869121728042,26.0719,8.12337808445211,15.7795
0.016000000000000014,41.915922898072445,42.225605640141,42.83567089177229,-4.131939999999999,8.906247656191404,17.3429,8.815195379884496,24.0854,8.764869121728042,26.0716,8.123303082577063,15.7793
0.017000000000000015,41.84377109427735,42.14715367884197,42.82727068176704,-4.1328499999999995,8.906172654316357,17.3386,8.815045376134401,24.0896,8.764794119852995,26.071299999999997,8.123228080702017,15.7791
0.018000000000000016,41.773569339233475,42.067426685667144,42.81414535363383,-4.15165,8.90609765244131,17.334300000000002,8.814970374259355,24.0939,8.764719117977949,26.0709,8.123228080702017,15.778899999999998
0.019000000000000017,41.705617640441005,41.98709967749193,42.795844896122404,-4.1899299999999995,8.906022650566264,17.330099999999998,8.814895372384308,24.0981,8.7646441161029,26.070600000000002,8.12315307882697,15.778699999999999
0.020000000000000018,41.64014100352509,41.90677266931673,42.77214430360759,-4.24899,8.906022650566264,17.3258,8.814820370509262,24.102400000000003,8.7646441161029,26.0703,8.12315307882697,15.778500000000001
0.02100000000000002,41.5772894322358,41.8270456761419,42.742668566714165,-4.32973,8.905947648691217,17.3215,8.814745368634215,24.1066,8.764569114227854,26.07,8.123078076951924,15.778300000000002
0.02200000000000002,41.5172879321983,41.74844371109277,42.707342683567084,-4.43264,8.90587264681617,17.3172,8.814670366759168,24.1108,8.764494112352807,26.069699999999997,8.123003075076875,15.7781
0.02300000000000002,41.459986499662485,41.671566789169724,42.666166654166354,-4.55779,8.90587264681617,17.312900000000003,8.814520363009075,24.115099999999998,8.76441911047776,26.0694,8.123003075076875,15.7779
0.02400000000000002,41.40553513837846,41.59686492162304,42.61914047851196,-4.704829999999999,8.905797644941122,17.308699999999998,8.814445361134029,24.119300000000003,8.76441911047776,26.069100000000002,8.122928073201829,15.7777
0.025000000000000022,41.35363384084602,41.52463811595289,42.566489162229054,-4.87299,8.905722643066076,17.3044,8.81437035925898,24.1235,8.764344108602714,26.0687,8.122853071326782,15.7776
0.026000000000000023,41.30420760519013,41.45533638340958,42.50851271281782,-5.06106,8.905722643066076,17.3001,8.814295357383934,24.1277,8.764269106727667,26.0684,8.122853071326782,15.777399999999998
0.027000000000000024,41.256956423910594,41.38903472586814,42.44566114152853,-5.26747,8.90564764119103,17.295900000000003,8.814220355508887,24.131800000000002,8.764269106727667,26.068099999999998,8.122778069451735,15.777199999999999
0.028000000000000025,41.21165529138228,41.32603315082876,42.37830945773644,-5.4902999999999995,8.905572639315983,17.2916,8.81414535363384,24.136,8.76419410485262,26.067800000000002,8.122778069451735,15.777000000000001
0.029000000000000026,41.16807920198004,41.266331658291456,42.307207680192,-5.72734,8.905572639315983,17.2873,8.813995349883747,24.1401,8.764119102977574,26.0675,8.122703067576689,15.776800000000001
0.030000000000000027,41.1259281482037,41.20993024825621,42.23288082202055,-5.97609,8.905497637440934,17.2831,8.8139203480087,24.144299999999998,8.764119102977574,26.0672,8.122628065701642,15.7766
0.031000000000000028,41.08490212255306,41.15682892072301,42.156003900097495,-6.23391,8.905497637440934,17.2788,8.813845346133654,24.148400000000002,8.764044101102527,26.0669,8.122628065701642,15.7764
0.03200000000000003,41.04477611940298,41.10680267006675,42.077326933173325,-6.498,8.905422635565888,17.2746,8.813770344258606,24.1524,8.763969099227479,26.066599999999998,8.122553063826595,15.7763
0.03300000000000003,41.00525013125328,41.05970149253731,41.99767494187354,-6.7655,8.905422635565888,17.2703,8.813695342383559,24.1565,8.763894097352432,26.066300000000002,8.122553063826595,15.7761
0.03400000000000003,40.96632415810395,41.015375384384605,41.91772294307358,-7.03357,8.905347633690841,17.266000000000002,8.813545338633464,24.1605,8.763894097352432,26.066000000000003,8.122478061951549,15.7759
0.03500000000000003,40.92777319432985,40.9734493362334,41.83822095552389,-7.29943,8.905347633690841,17.2617,8.813470336758417,24.1645,8.763819095477386,26.0657,8.122403060076502,15.775699999999999
0.03600000000000003,40.889522238055946,40.9337733443336,41.7598439960999,-7.56043,8.905272631815794,17.2575,8.81339533488337,24.1685,8.76374409360234,26.0654,8.122403060076502,15.775500000000001
0.03700000000000003,40.85172129303233,40.89604740118503,41.68319207980199,-7.81414,8.905272631815794,17.2532,8.813320333008324,24.1724,8.76374409360234,26.065099999999997,8.122328058201454,15.775300000000001
0.038000000000000034,40.81444536113403,40.86004650116252,41.609015225380624,-8.05836,8.905197629940748,17.2489,8.81317032925823,24.1763,8.763669091727293,26.064899999999998,8.122328058201454,15.775200000000002
0.039000000000000035,40.777844446111146,40.82554563864097,41.537613440336,-8.29122,8.905197629940748,17.244600000000002,8.813095327383184,24.1802,8.763594089852246,26.064600000000002,8.122253056326407,15.775
0.040000000000000036,40.74214355358883,40.7923198079952,41.46958673966849,-8.51115,8.905122628065701,17.2403,8.813020325508136,24.184,8.763594089852246,26.0643,8.122253056326407,15.7748
0.041000000000000036,40.707717692942325,40.760294007350176,41.405085127128174,-8.717,8.905047626190653,17.236,8.81294532363309,24.1878,8.7635190879772,26.064,8.12217805445136,15.7746
