t_s,pivc_mmhg,psvc_mmhg,prpa_mmhg,qrpa_ml_per_s,plpa_mmhg,qlpa_ml_per_s
0.0,8.443936098402459,8.424285607140177,8.263856596414909,23.1586,7.503787594689867,13.248899999999999
0.001,8.455861396534914,8.430885772144302,8.274806870171753,23.2223,7.510237755943898,13.2751
0.002,8.468761719042975,8.436810920273007,8.284932123303083,23.2814,7.516687917197929,13.301200000000001
0.003,8.482637065926648,8.442211055276381,8.294307357683943,23.335900000000002,7.522988074701867,13.3271
0.004,8.497337433435835,8.447161179029475,8.302857571439285,23.3856,7.5292132303307575,13.3525
0.005,8.512787819695491,8.451736293407334,8.31065776644416,23.430799999999998,7.535288382209554,13.3772
0.006,8.528988224705618,8.456011400285007,8.31763294082352,23.471700000000002,7.541138528463211,13.4011
0.007,8.545788644716117,8.460211505287631,8.324008100202503,23.5086,7.54668866721668,13.424000000000001
0.008,8.5630390759769,8.46433660841521,8.329783244581114,23.542099999999998,7.552013800345008,13.445799999999998
0.009000000000000001,8.580739518487961,8.468536713417834,8.335033375834394,23.572699999999998,7.557038925973149,13.466600000000001
0.01,8.598589964749118,8.472961824045601,8.339908497712443,23.6012,7.561839045976149,13.4864
0.011,8.616590414760367,8.477686942173554,8.344558613965347,23.628100000000003,7.566414160354008,13.5052
0.012,8.634665866646666,8.482862071551788,8.349058726468161,23.654300000000003,7.57068926723168,13.5231
0.013000000000000001,8.65259131478287,8.488487212180303,8.353558838970974,23.680600000000002,7.574814370359259,13.5403
0.014,8.670366759168978,8.494712367809194,8.358283957098926,23.7078,7.578789469736743,13.5568
0.015,8.687917197929947,8.501612540313507,8.36323408085202,23.7365,7.58268956723918,13.573
0.016,8.705092627315683,8.509262731568288,8.36855921398035,23.767599999999998,7.586514662866571,13.5891
0.017,8.721818045451137,8.517737943448585,8.374409360234004,23.8017,7.590339758493961,13.6051
0.018000000000000002,8.738093452336308,8.527038175954399,8.380934523363084,23.8395,7.594239855996399,13.6215
0.019,8.7539188479712,8.537163429085727,8.388134703367584,23.881400000000003,7.598289957248931,13.638399999999999
0.02,8.769219230480761,8.548263706592664,8.3961599039976,23.927899999999998,7.602490062251555,13.6561
0.021,8.783994599864997,8.560189004725117,8.405010125253131,23.9794,7.606990174754368,13.6747
0.022,8.798319957998949,8.573014325358132,8.414760369009224,24.036099999999998,7.611715292882321,13.6946
0.023,8.812120303007575,8.586739668491711,8.42541063526588,24.0981,7.616890422260555,13.7158
0.024,8.825545638640966,8.601290032250805,8.4369609240231,24.1654,7.622365559138977,13.7386
0.025,8.838595964899122,8.616665416635414,8.449486237155927,24.238,7.628215705392634,13.7631
0.026000000000000002,8.851271281782044,8.632790819770493,8.462836570914272,24.3155,7.634590864771618,13.7894
0.027,8.863721593039825,8.649591239780994,8.476936923423086,24.3978,7.641416035400884,13.817499999999999
0.028,8.875946898672467,8.667066676666915,8.491862296557413,24.4845,7.648691217280431,13.8475
0.029,8.888022200555012,8.685142128553213,8.507462686567163,24.575,7.656491412285306,13.8795
0.03,8.90009750243756,8.703667591689792,8.523588089702242,24.669,7.664666616665415,13.9133
0.031,8.91209780244506,8.722643066076651,8.540238505962648,24.7658,7.673366834170854,13.949
0.032,8.924173104327606,8.741993549838744,8.557338933473336,24.865,7.682442061051526,13.9864
0.033,8.936248406210154,8.761644041101027,8.574664366609165,24.9658,7.691967299182479,14.0254
0.034,8.948548713717841,8.781519537988448,8.592214805370133,25.067700000000002,7.701867546688668,14.065900000000001
