source_label,value_source_units,value_si
Ra (mmHg·s/ml),0.2646,35279118.0
Rc (mmHg·s/ml),0.5766748941425233,76888063.63602264
Rv (mmHg·s/ml),1.4840991001000847,197874933.0163443
Ca (ml/mmHg),2.4921,1.869121728043201e-08
Cv (ml/mmHg),0.18972351238236768,1.4229619169156804e-09
