time_s,ascending_aorta_flow_ml_s,ascending_aorta_pressure_mmHg
0.0,2.368552607228651,40.96446227660752
0.0010000000000000009,2.2037335490401935,40.90837691751261
0.0020000000000000018,1.979512454073395,40.9
0.0030000000000000027,1.7009374191590674,40.88381744765497
0.0040000000000000036,1.3730565411282452,40.85946148834102
0.0050000000000000044,1.0009179168116942,40.821911234670594
0.006000000000000005,0.5895696430404902,40.794289521475704
0.007000000000000006,0.14405981664536238,40.78444465713347
0.008000000000000007,-0.3305634655425811,40.78
0.009000000000000008,-0.8292521066925258,40.77012314275558
0.010000000000000009,-1.34695800997368,40.73106255359673
0.01100000000000001,-1.8786330785549032,40.721986610186725
0.01200000000000001,-2.4192292156055175,40.723073893021414
0.013000000000000012,-2.963698324294375,40.6605139403275
0.014000000000000012,-3.506992307790806,40.62437158315248
0.015000000000000013,-4.044063069263657,40.5970814390593
0.016000000000000014,-4.569862511882256,40.57831076803205
0.017000000000000015,-5.0793425388154585,40.558715110864945
0.018000000000000016,-5.567455053232578,40.5196381125153
0.019000000000000017,-6.029151958302489,40.45112355772828
0.020000000000000018,-6.459385157194486,40.430982575346945
0.02100000000000002,-6.853106553077465,40.421678885296316
0.02200000000000002,-7.205268049120688,40.37690777504225
0.02300000000000002,-7.510821548493093,40.34479130500369
0.02400000000000002,-7.7647189543639,40.324476943566395
0.025000000000000022,-7.961912169902087,40.30543962485345
0.026000000000000023,-8.097353098276828,40.285252302717005
0.027000000000000024,-8.165993642657154,40.27324969862223
0.028000000000000025,-8.19763839300741,40.26391559202813
0.029000000000000026,-8.228317102791257,40.25291947430502
0.030000000000000027,-8.258036197536747,40.25
0.031000000000000028,-8.286787179546225,40.24516702981604
0.03200000000000003,-8.314561551122074,40.25004711930642
0.03300000000000003,-8.341350814566638,40.27875423021065
0.03400000000000003,-8.367146472182299,40.29795910723196
0.03500000000000003,-8.391940026271406,40.31378803162777
0.03600000000000003,-8.415722979136335,40.32289566236812
0.03700000000000003,-8.43848683307944,40.33296490349754
0.038000000000000034,-8.460223090403094,40.34
0.039000000000000035,-8.480923253409653,40.34243498886412
0.040000000000000036,-8.500578824401487,40.383259015202555
0.041000000000000036,-8.519181305680954,40.40180539273156
0.04200000000000004,-8.536722199550427,40.42102429364604
0.04300000000000004,-8.553193008312258,40.440139941711514
0.04400000000000004,-8.568585234268824,40.449709696106474
0.04500000000000004,-8.582890379722476,40.45894874220165
0.04600000000000004,-8.596099946975588,40.49469234655887
0.04700000000000004,-8.608205438330517,40.55213465100751
0.04800000000000004,-8.619198356089633,40.59268138272292
0.049000000000000044,-8.629070202555296,40.63025121885686
0.050000000000000044,-8.637812480029872,40.67462617838826
0.051000000000000045,-8.645416690815722,40.74580600546626
0.052000000000000046,-8.651874337215213,40.8091035887571
0.05300000000000005,-8.657176921530706,40.871069331825126
0.05400000000000005,-8.661315946064569,40.95283132668901
0.05500000000000005,-8.664282913119163,41.02174171861633
0.05600000000000005,-8.666069324996851,41.09756841161667
0.05700000000000005,-8.666666684,41.15561015078382
0.05800000000000005,-3.33333334,41.17027886949206
0.05900000000000005,-3.2988574208997736,41.198505307963394
0.06000000000000005,-3.196835272810209,41.2742101213754
