time_s,ivc_flow_ml_s,svc_flow_ml_s
0.0,24.163411701891626,18.3532168429195
0.0010000000000000009,24.325193214685772,18.36194695058489
0.0020000000000000018,24.48816904094616,18.3701426137908
0.0030000000000000027,24.65218761907159,18.377835715597755
0.0040000000000000036,24.81709738746071,18.385058139066267
0.0050000000000000044,24.98274678451232,18.39184176725686
0.006000000000000005,25.14898424862507,18.398218483230057
0.007000000000000006,25.315658218197765,18.40422017004638
0.008000000000000007,25.48261713162905,18.40987871076634
0.009000000000000008,25.64970942731769,18.41522598845046
0.010000000000000009,25.816783543662446,18.420293886159264
0.01100000000000001,25.98368791906197,18.42511428695327
0.01200000000000001,26.15027099191506,18.429719073893
0.013000000000000012,26.316381200620373,18.434140130038973
0.014000000000000012,26.4818669835767,18.438409338451706
0.015000000000000013,26.6465767791827,18.442558582191722
0.016000000000000014,26.810359025837162,18.44661974431954
0.017000000000000015,26.973062161938746,18.45062470789568
0.018000000000000016,27.13453462588625,18.454605355980664
0.019000000000000017,27.294624856078322,18.458593571635006
0.020000000000000018,27.45318129091376,18.462621237919237
0.02100000000000002,27.610052368791226,18.466720237893867
0.02200000000000002,27.765086528109507,18.47092245461942
0.02300000000000002,27.91813220726726,18.475259771156413
0.02400000000000002,28.069037844663278,18.479764070565373
0.025000000000000022,28.217651878696223,18.484467235906813
0.026000000000000023,28.363822747764885,18.489401150241257
0.027000000000000024,28.507401452756085,18.494597696629224
0.028000000000000025,28.649303078493915,18.500088718723653
0.029000000000000026,28.79034481156146,18.505736199564193
0.030000000000000027,28.930512596888995,18.511390765176838
0.031000000000000028,29.069792379406675,18.517052394923773
0.03200000000000003,29.208170104044772,18.522721068167186
0.03300000000000003,29.34563171573344,18.528396764269257
0.03400000000000003,29.482163159402955,18.534079462592178
0.03500000000000003,29.61775037998347,18.539769142498127
0.03600000000000003,29.75237932240526,18.5454657833493
0.03700000000000003,29.88603593159848,18.55116936450787
0.038000000000000034,30.018706152493408,18.556879865336036
0.039000000000000035,30.150375930020193,18.562597265195976
0.040000000000000036,30.28103120910911,18.568321543449873
0.041000000000000036,30.410657934690317,18.574052679459918
0.04200000000000004,30.53924205169408,18.579790652588297
0.04300000000000004,30.666769505050567,18.58553544219719
0.04400000000000004,30.793226239690043,18.59128702764879
0.04500000000000004,30.91859820054266,18.597045388305276
0.04600000000000004,31.042871332538702,18.602810503528836
0.04700000000000004,31.166031580608315,18.60858235268166
0.04800000000000004,31.288064889681777,18.614360915125925
0.049000000000000044,31.408957204689244,18.620146170223823
0.050000000000000044,31.528694470560986,18.62593809733754
0.051000000000000045,31.647262632227164,18.631736675829252
0.052000000000000046,31.764647634618044,18.63754188506116
0.05300000000000005,31.88083542266379,18.643353704395437
0.05400000000000005,31.995811941294665,18.649172113194275
0.05500000000000005,32.10956313544084,18.654997090819858
0.05600000000000005,32.222074950032564,18.660828616634372
0.05700000000000005,32.333333330000016,18.66666667
0.05800000000000005,29.0,20.5
0.05900000000000005,28.85802562736189,20.41168456543836
0.06000000000000005,28.717553137411212,20.32422635886681
0.061000000000000054,28.578813874150423,20.237693937865846
0.062000000000000055,28.44203918158198,20.152155860015956
0.06300000000000006,28.30746040370833,20.067680682897635
0.06400000000000006,28.175308884531933,19.98433696409137
0.06500000000000006,28.045815968055244,19.902193261177654
0.06600000000000006,27.919212998280713,19.821318131736984
0.06700000000000006,27.7957313192108,19.74178013334984
0.06800000000000006,27.675602274847957,19.663647823596722
0.06900000000000006,27.55905720919464,19.586989760058124
0.07000000000000006,27.4463274662533,19.51187450031453
0.07100000000000006,27.337644390026398,19.43837060194643
0.07200000000000006,27.233239324516383,19.366546622534326
0.07300000000000006,27.133343613725707,19.2964711196587
0.07400000000000007,27.038188601656834,19.228212650900048
0.07500000000000007,26.94800563231221,19.16183977383886
0.07600000000000007,26.863026049694295,19.09742104605563
0.07700000000000007,26.783481197805543,19.035025025130846
0.07800000000000007,26.709602420648405,18.974720268644997
0.07900000000000007,26.641621062225337,18.91657533417858
0.08000000000000007,26.579768466538795,18.86065877931209
0.08100000000000007,26.524275977591234,18.807039161626008
0.08200000000000007,26.475374939385105,18.75578503870083
0.08300000000000007,26.43329669592287,18.70696496811705
0.08400000000000007,26.398272591206975,18.660647507455156
0.08500000000000008,26.37053396923988,18.61690121429564
0.08600000000000008,26.350312174024033,18.575794646218995
0.08700000000000008,26.337838549561898,18.537396360805715
0.08800000000000008,26.333344439855924,18.501774915636283
0.08900000000000008,26.334899653957383,18.46769606634021
0.09000000000000008,26.339791631090897,18.43364606245967
0.09100000000000008,26.34776847093821,18.399705713122202
0.09200000000000008,26.358584560573128,18.365959753816348
0.09300000000000008,26.371994287069466,18.332492920030635
0.09400000000000008,26.387752037501038,18.299389947253587
0.09500000000000008,26.405612198941657,18.26673557097374
0.09600000000000009,26.425329158465136,18.23461452667962
0.09700000000000009,26.446657303145283,18.203111549859763
0.09800000000000009,26.469351020055917,18.172311376002693
0.09900000000000009,26.493164696270846,18.142298740596942
0.10000000000000009,26.51785271886388,18.113158379131036
0.10100000000000009,26.54316947490884,18.084975027093513
0.10200000000000009,26.56886935147953,18.057833419972894
0.10299999999999998,26.59470673564977,18.031818293257718
0.10399999999999998,26.620436014493364,18.007014382436505
0.10499999999999998,26.645811575084135,17.983506422997795
0.10599999999999998,26.670587804495888,17.961379150430112
0.10699999999999998,26.694519089802437,17.940717300221984
