source_label,value_source_units,value_si
Ra (mmHg·s/ml),0.4146,55278618.00000001
Ra4 (mmHg·s/ml),0.5086136054421769,67813452.01360546
Ra5 (mmHg·s/ml),2.2429860000000006,299057323.3800001
Rc (mmHg·s/ml),1.3304587979156042,177390071.52608752
Rv (mmHg·s/ml),0.005356490258070501,714180.84610854
