segment_name,domain_id,node_1,node_2,length_m,radius_in_m,radius_out_m
IVC,1-5,1.0,2.0,0.055,0.0155,0.011
RPA,2-6,2.0,5.0,0.012,0.0065,0.0065
LPA I,3-7,2.0,3.0,0.022,0.00525,0.003
LPA II,4-8,3.0,6.0,0.014,0.003,0.004
SVC,5-9,2.0,4.0,0.015,0.011,0.00725
-,,,,,,
