time_s,measured_pressure_mmHg,simulated_pressure_mmHg,simulated_flow_ml_s
0.0,43.27316530674536,43.79644491112278,6.59719
0.0010000000000000009,43.253638067175785,43.79959498987474,6.61182
0.0020000000000000018,43.22515888579588,43.80139503487587,6.62356
0.0030000000000000027,43.213155860438775,43.80117002925073,6.63126
0.0040000000000000036,43.196847176240894,43.798394959873995,6.63378
0.0050000000000000044,43.1846396693094,43.79254481362033,6.629980000000001
0.006000000000000005,43.16795979352806,43.78309457736443,6.61878
0.007000000000000006,43.12313442006757,43.7694442361059,6.59918
0.008000000000000007,43.0804711871832,43.75121878046951,6.57031
0.009000000000000008,43.06681959307241,43.72804320108003,6.531420000000001
0.010000000000000009,43.05337863933548,43.69961749043726,6.4818999999999996
0.01100000000000001,43.0140207551463,43.66564164104102,6.42134
0.01200000000000001,42.987420784355585,43.62611565289132,6.3495
0.013000000000000012,42.96910267887268,43.5809645241131,6.26635
0.014000000000000012,42.95056267771377,43.530263256581414,6.17203
0.015000000000000013,42.9035280376955,43.47416185404634,6.06692
0.016000000000000014,42.874391338282976,43.4129603240081,5.95155
0.017000000000000015,42.845708400204806,43.346958673966846,5.826650000000001
0.018000000000000016,42.82445198357917,43.276681917047924,5.693099999999999
0.019000000000000017,42.813711529718205,43.20258006450161,5.55194
0.020000000000000018,42.79610211868627,43.12517812945323,5.404319999999999
0.02100000000000002,42.79,43.045151128778215,5.25147
0.02200000000000002,42.77270073337914,42.96317407935198,5.094720000000001
0.02300000000000002,42.75,42.87977199429985,4.9354000000000005
0.02400000000000002,42.75,42.79576989424735,4.7748800000000005
0.025000000000000022,42.75,42.7118427960699,4.61449
0.026000000000000023,42.74781616695029,42.62844071101777,4.455509999999999
0.027000000000000024,42.71708143905933,42.54631365784144,4.29914
0.028000000000000025,42.69875750885794,42.465986649666235,4.14649
0.029000000000000026,42.680062816933926,42.38790969774244,3.99855
0.030000000000000027,42.67068806746443,42.312532813320324,3.8561500000000004
0.031000000000000028,42.66135990621337,42.240231005775144,3.71999
0.03200000000000003,42.65278754129114,42.17115427885697,3.59059
0.03300000000000003,42.621128043503575,42.105602640065996,3.46832
0.03400000000000003,42.58878248663437,42.04365109127728,3.35338
0.03500000000000003,42.56855078115087,41.98529963249081,3.2458
0.03600000000000003,42.54010931946807,41.930473261831544,3.14549
0.03700000000000003,42.500526601010876,41.87909697742443,3.0522199999999997
0.038000000000000034,42.46666704092919,41.83094577364434,2.96563
0.039000000000000035,42.44263144206688,41.78586964674117,2.8853
0.040000000000000036,42.42489847583463,41.74364359108978,2.81074
0.041000000000000036,42.40324252865853,41.70389259731493,2.7414199999999997
0.04200000000000004,42.36529673496548,41.66646666166654,2.67682
0.04300000000000004,42.33768176549715,41.63106577664441,2.61642
0.04400000000000004,42.30974766197436,41.59746493662341,2.5597600000000003
0.04500000000000004,42.29109051820484,41.56551413785345,2.50648
0.04600000000000004,42.27303733681012,41.534988374709364,2.45627
0.04700000000000004,42.23712788633121,41.50588764719117,2.40898
0.04800000000000004,42.206511875979565,41.47813695342383,2.36456
0.049000000000000044,42.18734628871455,41.45181129528238,2.3231100000000002
0.050000000000000044,42.15029970512543,41.42698567464186,2.2848699999999997
0.051000000000000045,42.10668748806782,41.40388509712743,2.25023
0.052000000000000046,42.07579792509026,41.38280957023925,2.2197
0.05300000000000005,42.03859154455764,41.36398409960249,2.19392
0.05400000000000005,42.00003348979255,41.34793369834245,2.1736600000000004
0.05500000000000005,41.99,41.3348833720843,2.1597299999999997
0.05600000000000005,41.989118221897385,41.32543313582839,2.15306
0.05700000000000005,41.9782210604182,41.32003300082501,2.15458
0.05800000000000005,41.97153977874774,41.319132978324454,2.1652500000000003
0.05900000000000005,41.97,41.323183079576985,2.18599
0.06000000000000005,41.97,41.33270831770794,2.21771
0.061000000000000054,41.96516625046975,41.348008700217505,2.26119
0.062000000000000055,41.96,41.36953423835595,2.31714
0.06300000000000006,41.95349501313978,41.39750993774844,2.38615
0.06400000000000006,41.92272063043323,41.43216080402009,2.46862
0.06500000000000006,41.910574314381385,41.473636840921024,2.56481
0.06600000000000006,41.92374709451614,41.52201305032626,2.67479
0.06700000000000006,41.96,41.577214430360755,2.79845
0.06800000000000006,41.96,41.63909097727443,2.9354899999999997
0.06900000000000006,41.978236688571876,41.70741768544214,3.08542
0.07000000000000006,42.00628638610485,41.78181954548864,3.24759
0.07100000000000006,42.02679277275659,41.86199654991374,3.42121
0.07200000000000006,42.037377339278095,41.94742368559214,3.60534
0.07300000000000006,42.04648774795798,42.03757593939848,3.79896
0.07400000000000007,42.057198634765676,42.132003300082495,4.001
0.07500000000000007,42.06,42.23018075451886,4.21034
0.07600000000000007,42.06223360728714,42.33143328583214,4.4259
0.07700000000000007,42.088401111426776,42.435310882772065,4.64666
0.07800000000000007,42.137443412428176,42.54136353408835,4.871689999999999
0.07900000000000007,42.154305140524706,42.649216230405756,5.100219999999999
0.08000000000000007,42.17497115945188,42.758568964224104,5.33166
0.08100000000000007,42.21290441685899,42.869196729918244,5.56561
0.08200000000000007,42.24075902469918,42.98102452561314,5.801950000000001
0.08300000000000007,42.29665621853193,43.094202355058876,6.04081
0.08400000000000007,42.36252859513141,43.20888022200555,6.28261
0.08500000000000008,42.410678511383374,43.325358133953344,6.52805
0.08600000000000008,42.45489404307284,43.44416110402759,6.77813
0.08700000000000008,42.52758520008666,43.56596414910372,7.034129999999999
0.08800000000000008,42.62095047292002,43.6915172879322,7.29762
0.08900000000000008,42.702711369787146,43.82172054301357,7.57038
0.09000000000000008,42.77869708873204,43.95754893872346,7.854429999999999
0.09100000000000008,42.87583836410846,44.100052501312526,8.15198
0.09200000000000008,43.00852005672763,44.250506262656565,8.46537
