target_id,source_id,source_type,canonical_name,quantity,statistic,value,unit,source_file,source_columns,cycle_length_s,notes
direct_measurement.descending_aorta_flow.beat_integral,direct_measurement,direct_measurement,descending_aorta_flow,flow,beat_integral,16.45885201186485,ml/beat,comparison/measurements_last_cycle_clinical.csv,"[""descending_aorta_flow_ml_s"", ""time_s""]",0.8580000000000008,Periodic trapezoid integral over one beat.
direct_measurement.rpa_flow_fraction.rpa_over_rpa_plus_lpa,direct_measurement,direct_measurement,rpa_flow_fraction,dimensionless,rpa_over_rpa_plus_lpa,0.5914210522025144,1,comparison/measurements_last_cycle_clinical.csv,"[""rpa_flow_ml_s"", ""lpa_flow_ml_s"", ""time_s""]",0.8580000000000008,Pulmonary flow split from beat-integrated RPA and LPA flows.
direct_measurement.lpa_flow_fraction.lpa_over_rpa_plus_lpa,direct_measurement,direct_measurement,lpa_flow_fraction,dimensionless,lpa_over_rpa_plus_lpa,0.4085789477974857,1,comparison/measurements_last_cycle_clinical.csv,"[""rpa_flow_ml_s"", ""lpa_flow_ml_s"", ""time_s""]",0.8580000000000008,Pulmonary flow split from beat-integrated RPA and LPA flows.
direct_measurement.rpa_lpa_flow_ratio.rpa_over_lpa,direct_measurement,direct_measurement,rpa_lpa_flow_ratio,dimensionless,rpa_over_lpa,1.447507404360088,1,comparison/measurements_last_cycle_clinical.csv,"[""rpa_flow_ml_s"", ""lpa_flow_ml_s"", ""time_s""]",0.8580000000000008,RPA/LPA flow ratio from beat-integrated flows.
paper_model.cycle_length.period,paper_model,paper_output,cycle_length,time,period,0.8580000000000008,s,paper_results/model.csv,"[""time_s""]",0.8580000000000008,Derived as sample_count * median_dt because the terminal phase sample is not duplicated.
paper_model.heart_rate.derived_from_cycle_length,paper_model,paper_output,heart_rate,frequency,derived_from_cycle_length,69.93006993006986,beats/min,paper_results/model.csv,"[""time_s""]",0.8580000000000008,Derived from one-cycle duration.
paper_model.edv.max,paper_model,paper_output,edv,volume,max,75.976811,ml,paper_results/model.csv,"[""vv_ml""]",0.8580000000000008,End-diastolic volume proxy from maximum ventricular volume over the cycle.
paper_model.esv.min,paper_model,paper_output,esv,volume,min,37.976571,ml,paper_results/model.csv,"[""vv_ml""]",0.8580000000000008,End-systolic volume proxy from minimum ventricular volume over the cycle.
paper_model.stroke_volume.edv_minus_esv,paper_model,paper_output,stroke_volume,volume,edv_minus_esv,38.00024,ml,paper_results/model.csv,"[""vv_ml""]",0.8580000000000008,Stroke volume derived from EDV minus ESV.
paper_model.cardiac_output.from_stroke_volume,paper_model,paper_output,cardiac_output,flow,from_stroke_volume,2.6573594405594383,L/min,paper_results/model.csv,"[""vv_ml"", ""time_s""]",0.8580000000000008,Cardiac output derived from stroke volume and cycle length.
