time_s,upper_body_arterial_pressure_mmHg,upper_body_venous_pressure_mmHg,lower_body_arterial_pressure_mmHg,lower_body_venous_pressure_mmHg
0.098,-0.689133,-1.040155,-1.084152,-0.686404
0.099,-0.686318,-1.024998,-1.082346,-0.683395
0.1,-0.683236,-1.009742,-1.080497,-0.680369
0.101,-0.67988,-0.994361,-1.078565,-0.677267
0.102,-0.676248,-0.978847,-1.076532,-0.674044
0.103,-0.67234,-0.963205,-1.074386,-0.670674
0.104,-0.668156,-0.947447,-1.072111,-0.667147
0.105,-0.66369,-0.93159,-1.06968,-0.663469
0.106,-0.658931,-0.915649,-1.06705,-0.65966
0.107,-0.653853,-0.899642,-1.064165,-0.655751
0.108,-0.648423,-0.883582,-1.06097,-0.651781
0.109,-0.642603,-0.867485,-1.057412,-0.647793
0.11,-0.636355,-0.85137,-1.05345,-0.643831
0.111,-0.629651,-0.835265,-1.049049,-0.639939
0.112,-0.622478,-0.819204,-1.044176,-0.636155
0.113,-0.614836,-0.803231,-1.038796,-0.632512
0.114,-0.606737,-0.787396,-1.032868,-0.629034
0.115,-0.598198,-0.771751,-1.026354,-0.625734
0.116,-0.589229,-0.756345,-1.01922,-0.622611
0.117,-0.579836,-0.741219,-1.011445,-0.619656
0.118,-0.570015,-0.726403,-1.003016,-0.616846
0.119,-0.559759,-0.711912,-0.993932,-0.614151
0.12,-0.549056,-0.697745,-0.984195,-0.611533
0.121,-0.537897,-0.683888,-0.973812,-0.608953
0.122,-0.526275,-0.670312,-0.962794,-0.606367
0.123,-0.514184,-0.65698,-0.951164,-0.603738
0.124,-0.501621,-0.643849,-0.938954,-0.601028
0.125,-0.488582,-0.630872,-0.926202,-0.598206
0.126,-0.47507,-0.618006,-0.912945,-0.595248
0.127,-0.461087,-0.605211,-0.899206,-0.592136
0.128,-0.446645,-0.592455,-0.884992,-0.588859
0.129,-0.431755,-0.579713,-0.870292,-0.585415
0.13,-0.416434,-0.566972,-0.855078,-0.58181
0.131,-0.400698,-0.554227,-0.83932,-0.578054
0.132,-0.384563,-0.541483,-0.822987,-0.574169
0.133,-0.368044,-0.528754,-0.806056,-0.570175
0.134,-0.351156,-0.516061,-0.788513,-0.566101
0.135,-0.33391,-0.503429,-0.770348,-0.561973
0.136,-0.31632,-0.490887,-0.751559,-0.557816
0.137,-0.298399,-0.478464,-0.732146,-0.55365
0.138,-0.280158,-0.466188,-0.712115,-0.549488
0.139,-0.261608,-0.454082,-0.691477,-0.545336
0.14,-0.242757,-0.442165,-0.670245,-0.541188
0.141,-0.223613,-0.430451,-0.648438,-0.537031
0.142,-0.204184,-0.418946,-0.626075,-0.532843
0.143,-0.184473,-0.407651,-0.603173,-0.528595
0.144,-0.164487,-0.39656,-0.579748,-0.524254
0.145,-0.144228,-0.385664,-0.555814,-0.519785
0.146,-0.1237,-0.374948,-0.531383,-0.515153
0.147,-0.102907,-0.364393,-0.506468,-0.510329
0.148,-0.081851,-0.35398,-0.481081,-0.505286
0.149,-0.060537,-0.343687,-0.455237,-0.500006
0.15,-0.03897,-0.333493,-0.428947,-0.494478
0.151,-0.017157,-0.323378,-0.402223,-0.488697
0.152,0.004895,-0.313325,-0.375078,-0.482667
0.153,0.027179,-0.30332,-0.347522,-0.476396
0.154,0.049687,-0.293354,-0.319565,-0.469899
0.155,0.072412,-0.283424,-0.291219,-0.463192
0.156,0.095349,-0.27353,-0.262496,-0.456295
0.157,0.118495,-0.263679,-0.23341,-0.449224
0.158,0.141844,-0.253884,-0.203972,-0.441997
0.159,0.165394,-0.244159,-0.174195,-0.43463
0.16,0.189141,-0.234519,-0.144089,-0.427132
0.161,0.21308,-0.224982,-0.113665,-0.419513
0.162,0.237207,-0.215562,-0.082931,-0.411775
0.163,0.261515,-0.206271,-0.051895,-0.403918
0.164,0.286,-0.197118,-0.020564,-0.395937
0.165,0.310654,-0.188107,0.011058,-0.387823
0.166,0.335472,-0.179235,0.042967,-0.379565
0.167,0.360447,-0.170499,0.07516,-0.371149
0.168,0.385571,-0.161887,0.107635,-0.362558
0.169,0.41084,-0.153388,0.14039,-0.353777
0.17,0.436245,-0.144986,0.173421,-0.34479
0.171,0.461783,-0.136667,0.206722,-0.335581
0.172,0.487446,-0.128414,0.240284,-0.326139
0.173,0.513231,-0.120214,0.274098,-0.316455
0.174,0.539132,-0.112055,0.308155,-0.306523
0.175,0.565146,-0.103928,0.342441,-0.296344
0.176,0.591268,-0.095826,0.376947,-0.285919
0.177,0.617494,-0.087747,0.411662,-0.275256
0.178,0.643821,-0.07969,0.446573,-0.264366
0.179,0.670244,-0.071657,0.48167,-0.25326
0.18,0.696761,-0.063652,0.516944,-0.241952
0.181,0.723367,-0.055682,0.552384,-0.230457
0.182,0.750058,-0.047752,0.587983,-0.218786
0.183,0.776829,-0.039869,0.623732,-0.20695
0.184,0.803678,-0.032042,0.659625,-0.194959
0.185,0.830598,-0.024275,0.695655,-0.182818
0.186,0.857586,-0.016574,0.731815,-0.170528
0.187,0.884636,-0.008944,0.7681,-0.15809
0.188,0.911743,-0.001387,0.804503,-0.1455
0.189,0.938902,0.006095,0.841018,-0.132752
0.19,0.966109,0.013504,0.877639,-0.119839
0.191,0.993359,0.020842,0.914361,-0.106753
0.192,1.020647,0.028114,0.951177,-0.093486
0.193,1.047968,0.035325,0.988081,-0.080031
0.194,1.07532,0.042481,1.025067,-0.066381
0.195,1.102698,0.049591,1.062128,-0.052532
0.196,1.1301,0.056662,1.099258,-0.038481
0.197,1.157523,0.063701,1.136451,-0.024227
0.198,1.184963,0.070714,1.173699,-0.009773
0.199,1.21242,0.077707,1.210998,0.004879
0.2,1.239892,0.084684,1.24834,0.019723
0.201,1.267375,0.091647,1.285722,0.034753
0.202,1.294871,0.098596,1.323136,0.04996
0.203,1.322376,0.105529,1.360579,0.065338
0.204,1.349891,0.112446,1.398045,0.080877
0.205,1.377415,0.119341,1.435531,0.096569
0.206,1.404948,0.126212,1.473032,0.112406
0.207,1.432489,0.133054,1.510544,0.12838
0.208,1.460037,0.139863,1.548065,0.144487
0.209,1.487594,0.146635,1.58559,0.160721
0.21,1.515158,0.153367,1.623119,0.17708
0.211,1.54273,0.160058,1.660647,0.193562
0.212,1.570309,0.166707,1.698173,0.210167
0.213,1.597894,0.173313,1.735696,0.226899
0.214,1.625485,0.179879,1.773215,0.243758
0.215,1.653082,0.186405,1.810729,0.260751
0.216,1.680682,0.192895,1.848238,0.27788
0.217,1.708284,0.19935,1.885742,0.295149
0.218,1.735886,0.205775,1.923241,0.312563
0.219,1.763486,0.212173,1.960735,0.330124
0.22,1.791082,0.218547,1.998225,0.347832
0.221,1.818672,0.224899,2.035712,0.365688
0.222,1.846251,0.231232,2.073195,0.38369
0.223,1.873817,0.237548,2.110674,0.401834
0.224,1.901367,0.243847,2.148148,0.420116
0.225,1.928897,0.250132,2.185617,0.43853
0.226,1.956405,0.256401,2.223079,0.45707
0.227,1.983886,0.262654,2.260531,0.475729
0.228,2.011338,0.268889,2.297973,0.4945
0.229,2.038758,0.275106,2.335399,0.513379
0.23,2.066142,0.281302,2.372808,0.532358
0.231,2.093488,0.287474,2.410195,0.551434
0.232,2.120794,0.293621,2.447555,0.570603
0.233,2.148057,0.29974,2.484885,0.589862
0.234,2.175275,0.30583,2.522178,0.609211
0.235,2.202447,0.311888,2.559431,0.628648
0.236,2.229571,0.317914,2.596639,0.648175
0.237,2.256646,0.323908,2.633796,0.667791
0.238,2.283671,0.32987,2.670898,0.6875
0.239,2.310644,0.335801,2.707939,0.707301
