time_s,ivc_pressure_mmHg,lpa_pressure_mmHg,rpa_pressure_mmHg,svc_pressure_mmHg,aortic_arch_pressure_mmHg,ascending_aorta_pressure_mmHg,descending_aorta_pressure_mmHg,femoral_artery_pressure_mmHg,ventricle_pressure_mmHg,wedge_pressure_mmHg,ivc_flow_ml_s,lpa_flow_ml_s,rpa_flow_ml_s,svc_flow_ml_s,ascending_aorta_flow_ml_s,descending_aorta_flow_ml_s,ventricle_volume_ml
0.0,7.98003298112345,8.24,8.75,8.559633751144833,41.91955243186736,40.96446227660752,43.27316530674536,41.832541165441405,6.66,5.281087304151062,24.163411701891626,22.751905805336552,28.805543149831312,18.3532168429195,2.368552607228651,-3.34601605292813,74.3011897778774
0.0010000000000000009,8.007197401670552,8.26,8.721054423035607,8.568912029193521,41.87103547890286,40.90837691751261,43.253638067175785,41.79287543170073,6.71,5.288223405844599,24.325193214685772,22.710435342870298,28.623604823495462,18.36194695058489,2.2037335490401935,-3.3612399754896987,74.32354752396914
0.0020000000000000018,8.019358980078573,8.28,8.728977943571277,8.578018757327097,41.861050501988075,40.9,43.22515888579588,41.78110149004206,6.81,5.348006362734304,24.48816904094616,22.66583361054477,28.437779232615323,18.3701426137908,1.979512454073395,-3.3817939578550265,74.34334668653715
0.0030000000000000027,8.012176268447478,8.24,8.73,8.587162954279025,41.85234169050674,40.88381744765497,43.213155860438775,41.789129024273684,6.83,5.340417267463085,24.65218761907159,22.618382404518126,28.24870452188591,18.377835715597755,1.7009374191590674,-3.407234252649177,74.36043643875779
0.0040000000000000036,8.023302600265279,8.27,8.736916057715344,8.597776172256127,41.82912565095794,40.85946148834102,43.196847176240894,41.76792265414895,6.94,5.356225147507661,24.81709738746071,22.568363520948562,28.057018836002406,18.385058139066267,1.3730565411282452,-3.4371171124971944,74.37466595380738
0.0050000000000000044,8.02099072078858,8.32,8.74,8.6,41.778388323973516,40.821911234670594,43.1846396693094,41.74937415654851,7.02,5.4078306507449385,24.98274678451232,22.516058755994237,27.863360319659826,18.39184176725686,1.0009179168116942,-3.470998790024147,74.38588440486228
0.006000000000000005,8.005154609207416,8.3,8.744394640946966,8.602682587868225,41.725832789491236,40.794289521475704,43.16795979352806,41.740046820362004,7.05,5.381770365126136,25.14898424862507,22.461749905813356,27.668367117553355,18.398218483230057,0.5895696430404902,-3.508435537855074,74.39394096509882
0.007000000000000006,7.9956811005560535,8.31,8.75,8.619020772362989,41.69192155851673,40.78444465713347,43.12313442006757,41.73057444314184,7.19,5.412942367335092,25.315658218197765,22.405718766564068,27.472677374378012,18.40422017004638,0.14405981664536238,-3.5489836086150475,74.39868480769336
0.008000000000000007,7.992435911444558,8.35,8.75,8.649006927246747,41.66552452280638,40.78,43.0804711871832,41.72162549161139,7.3,5.4580218431380505,25.48261713162905,22.348247134404573,27.276929234828973,18.40987871076634,-0.3305634655425811,-3.592199254929105,74.39998007606457
0.009000000000000008,8.013737859132156,8.35,8.74758552504912,8.674790435492335,41.62844658690325,40.77012314275558,43.06681959307241,41.6863992007792,7.39,5.423154392806506,25.64970942731769,22.289616805493047,27.0817608436013,18.41522598845046,-0.8292521066925258,-3.6376387294223096,74.39868181340613
