time_s,ascending_aorta_pressure_mmHg,ascending_aorta_flow_ml_s,aortic_arch_pressure_mmHg,descending_aorta_pressure_mmHg,descending_aorta_flow_ml_s,ivc_pressure_mmHg,ivc_flow_ml_s,svc_pressure_mmHg,svc_flow_ml_s,rpa_pressure_mmHg,rpa_flow_ml_s,lpa_pressure_mmHg,lpa_flow_ml_s,ventricle_volume_ml,mitral_valve_flow_ml_s,pulmonary_inflow_qin5_ml_s,ventricle_pressure_mmHg,atrium_pressure_mmHg,atrium_volume_ml
0.0,41.95732393309832,-0.00204335,41.95732393309832,41.9734493362334,-5.81852,8.81947048676217,17.1789,8.530263256581414,38.9303,8.565214130353258,35.999,7.441003525088127,20.8368,75.968336,2.608228,56.83576,4.25544,2.374057,17.344826
0.001,41.949373734343354,-0.00204345,41.94929873246831,41.96549913747843,-5.81544,8.823595589889747,17.1721,8.529813245331132,38.883700000000005,8.561839045976148,35.9132,7.4588389709742735,20.8645,75.970526,1.751138,56.777609,4.502031,2.385454,17.399446
0.002,41.941423535588385,-0.0020435400000000004,41.94134853371334,41.95754893872346,-5.812360000000001,8.826970674266857,17.1652,8.529288232205804,38.847100000000005,8.558388959723992,35.824600000000004,7.475789394734868,20.8866,75.971805,0.780714,56.711187,4.861242,2.397349,17.454914
0.003,41.933473336833416,-0.00204363,41.93339833495837,41.9495987399685,-5.80928,8.829670741768544,17.158400000000004,8.528763219080476,38.819,8.555238880972023,35.734100000000005,7.492004800120002,20.9033,75.972046,-0.328069,56.637413,5.279052,2.409802,17.51135
0.004,41.925523138078454,-0.00204373,41.925523138078454,41.941648541213524,-5.80621,8.831470786769668,17.151600000000002,8.528163204080101,38.79750000000001,8.552613815345383,35.6427,7.5076126903172575,20.9148,75.971104,-1.585279,56.557531,5.7391,2.422853,17.568892
0.005,41.91757293932348,-0.00204382,41.91757293932348,41.93369834245856,-5.80314,8.83237080927023,17.145,8.527563189079727,38.7804,8.550663766594164,35.551500000000004,7.522688067201679,20.9215,75.96883,-2.992832,56.472942,6.232423,2.436528,17.627683
0.006,41.909697742443555,-0.0020439200000000003,41.909622740568516,41.92582314557864,-5.80008,8.832445811145279,17.1387,8.526963174079352,38.7652,8.549463736593415,35.4613,7.537388434710867,20.923800000000004,75.965074,-4.546856,56.385047,6.753149,2.450845,17.68787
0.007,41.90174754368859,-0.0020440099999999998,41.90167254181354,41.917872946823664,-5.797020000000001,8.83169579239481,17.1327,8.526363159078976,38.7495,8.549313732843322,35.373000000000005,7.5518637965949145,20.9221,75.959695,-6.238825,56.295111,7.297038,2.465815,17.749592
0.008,41.89379734493362,-0.00204411,41.89372234305857,41.9099227480687,-5.793970000000001,8.830120753018825,17.127100000000002,8.525763144078601,38.7305,8.550138753468836,35.287000000000006,7.566039150978773,20.9172,75.952559,-8.056319,56.204186,7.860833,2.481438,17.812979
0.009,41.885847146178655,-0.0020442,41.8857721443036,41.90204755118878,-5.79092,8.827720693017325,17.1218,8.525163129078226,38.7057,8.552163804095102,35.20380000000001,7.58028950723768,20.9093,75.94355,-9.983632,56.113101,8.441919,2.497708,17.878148
