phase,target_time_s,target_ascending_aorta_pressure_mmHg,target_aortic_arch_pressure_mmHg,target_descending_aorta_pressure_mmHg,target_ascending_aorta_flow_ml_s,target_descending_aorta_flow_ml_s,model_ascending_aorta_pressure_mmHg,model_aortic_arch_pressure_mmHg,model_descending_aorta_pressure_mmHg,model_ascending_aorta_flow_ml_s,model_dao_chain_outlet_flow_ml_s,model_lower_ra4_flow_ml_s
0.0,0.0,41.95732393309832,41.95732393309832,41.9734493362334,-0.00204335,-5.81852,41.363973520533136,41.49242193259168,45.46596029880295,-0.0020428700000000967,-17.80664233125488,20.687094145019312
0.0011655011655011644,0.001,41.94937373434336,41.94929873246831,41.96549913747843,-0.00204345,-5.81544,41.39612246412662,41.49275823015306,45.433795044759805,-0.00204335000000002,-18.50233984434938,20.59817992322414
0.002331002331002329,0.002,41.94142353558839,41.94134853371334,41.95754893872346,-0.00204354,-5.812360000000001,41.42844392703811,41.493625644031816,45.40112977031957,-0.0020434500000000183,-19.192005158252467,20.507961828983735
0.0034965034965034935,0.003,41.933473336833416,41.93339833495837,41.9495987399685,-0.00204363,-5.80928,41.46085393905657,41.49508194863277,45.36797063802466,-0.0020435400000000173,-19.875426095570614,20.4164578961808
0.004662004662004658,0.004,41.92552313807845,41.92552313807845,41.94164854121352,-0.00204373,-5.80621,41.49330504387173,41.4971555707924,45.33432397479876,-0.0020436300000000202,-20.552381780476175,20.323686596335712
0.005827505827505823,0.005,41.91757293932348,41.91757293932348,41.93369834245856,-0.00204382,-5.80314,41.52576575054203,41.49984225673677,45.30019627348303,-0.002043730000000018,-21.222655452049725,20.229666842480494
0.006993006993006987,0.006,41.90969774244356,41.90962274056852,41.92582314557864,-0.00204392,-5.80008,41.558197370388704,41.503130253572905,45.265594186108416,-0.002043820000000021,-21.886041598277206,20.13441797026596
0.008158508158508151,0.007,41.90174754368859,41.90167254181354,41.917872946823664,-0.0020440099999999,-5.797020000000001,41.59053920429917,41.50703054289558,45.23052451411959,-0.0020439200000000176,-22.542346225188783,20.037959710687506
0.009324009324009315,0.008,41.89379734493362,41.89372234305857,41.9099227480687,-0.00204411,-5.793970000000001,41.622702767531905,41.51158337955857,45.19499420064412,-0.0020440099999999195,-23.19138169961451,19.94031216846717
0.01048951048951048,0.009,41.885847146178655,41.8857721443036,41.90204755118878,-0.0020442,-5.79092,41.65457732661196,41.51683527159432,45.15901032800029,-0.002044110000000018,-23.832959300848024,19.84149581488432
0.011655011655011645,0.01,41.87789694742368,41.87782194554863,41.8940973524338,-0.0020443,-5.78787,41.68605170969313,41.52280893524886,45.12258012090669,-0.00204420000000002,-24.466882910820246,19.74153149631806
0.012820512820512808,0.011,41.86994674866872,41.86994674866872,41.88614715367884,-0.00204439,-5.78483,41.71704610651702,41.52949458304579,45.085710953443275,-0.0020443000000000175,-25.092946246360697,19.640440453116852
0.013986013986013974,0.012,41.8620715517888,41.86199654991374,41.87827195679892,-0.00204449,-5.781790000000001,41.74752992076807,41.536869404246374,45.048410356572425,-0.0020443900000000196,-25.710934239323734,19.538244339994836
0.015151515151515138,0.013,41.85412135303382,41.85404635115877,41.87032175804394,-0.00204458,-5.77876,41.777503247098615,41.54492575241054,45.01068602327687,-0.002044490000000018,-26.320627367549857,19.434965239847042
0.016317016317016302,0.014,41.846171154278856,41.84609615240381,41.86244656116403,-0.00204468,-5.77573,41.806949928565125,41.553682838868006,44.97254580983941,-0.00204458000000002,-26.921806617938078,19.330625666925357
0.017482517482517466,0.015,41.83829595739893,41.83822095552389,41.85449636240906,-0.00204477,-5.7727,41.83580286290653,41.56317453523183,44.933997733737385,-0.002044680000000018,-27.514256689154795,19.225248560686985
0.01864801864801863,0.016,41.83034575864396,41.83027075676891,41.846621165529136,-0.00204487,-5.76968,41.86395861214742,41.57342721134481,44.89504997023049,-0.0020447700000000195,-28.097765960658602,19.118857276048683
0.0198135198135198,0.017,41.822395559889,41.822395559889,41.83867096677417,-0.00204496,-5.76666,41.89133347190066,41.58444635642241,44.85571085031137,-0.002044870000000018,-28.672123249208923,19.011475577403296
0.02097902097902096,0.018,41.81452036300907,41.81444536113403,41.830795769894245,-0.00204506,-5.76365,41.91790898288896,41.596218652962676,44.81598886206062,-0.0020449600000000197,-29.237112842735705,18.90312764201867
